Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price Europe [EUR],Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JWDW2DRAVQQ3N14TGTFMXX0Z,16-ultra-slim-ai-laptop-3k-oled-11cm-thin-6-speaker-audio,"16"" Ultra-Slim AI Laptop | 3K OLED | 1.1cm Thin | 6-Speaker Audio",published,"This ultra-thin 16-inch laptop is a sophisticated, high-performance machine for the new era of artificial intelligence. It has been completely redesigned from the inside out. The cabinet features an exquisite new ceramic-aluminum composite material in a range of nature-inspired colors. This material provides durability while completing the ultra-slim design and resisting the test of time. This innovative computer utilizes the latest AI-enhanced processor with quiet ambient cooling. It's designed to enrich your lifestyle on the go with an astonishingly thin 1.1cm chassis that houses an advanced 16-inch 3K OLED display and immersive six-speaker audio.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,pcol_01JWDW2DQK78XM84BZR07ZT73J,,2025-05-29T11:15:36.837Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-top.png,,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:36.837Z,400,,variant_01JWDW2DSGQZ961KQ3CHHN8V03,256 GB / Blue,256-BLUE,,,,,false,false,,2025-05-29T11:15:36.880Z,,,,,,Storage,256 GB,Color,Blue,,1299,,1299,prod_01JWDW2DRAVQQ3N14TGTFMXX0Z,2025-05-29T11:15:36.880Z,0,,
prod_01JWDW2DRAVQQ3N14TGTFMXX0Z,16-ultra-slim-ai-laptop-3k-oled-11cm-thin-6-speaker-audio,"16"" Ultra-Slim AI Laptop | 3K OLED | 1.1cm Thin | 6-Speaker Audio",published,"This ultra-thin 16-inch laptop is a sophisticated, high-performance machine for the new era of artificial intelligence. It has been completely redesigned from the inside out. The cabinet features an exquisite new ceramic-aluminum composite material in a range of nature-inspired colors. This material provides durability while completing the ultra-slim design and resisting the test of time. This innovative computer utilizes the latest AI-enhanced processor with quiet ambient cooling. It's designed to enrich your lifestyle on the go with an astonishingly thin 1.1cm chassis that houses an advanced 16-inch 3K OLED display and immersive six-speaker audio.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,pcol_01JWDW2DQK78XM84BZR07ZT73J,,2025-05-29T11:15:36.837Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/laptop-top.png,,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:36.837Z,400,,variant_01JWDW2DSGSJ3G11CY7ZVRD2HH,512 GB / Red,512-RED,,,,,false,false,,2025-05-29T11:15:36.880Z,,,,,,Storage,512 GB,Color,Red,,1259,,1259,prod_01JWDW2DRAVQQ3N14TGTFMXX0Z,2025-05-29T11:15:36.880Z,0,,
prod_01JWDW2DTH682DDEQAJJ3ZJ1EB,1080p-hd-pro-webcam-superior-video-privacy-enabled,1080p HD Pro Webcam | Superior Video | Privacy enabled,published,"High-quality 1080p HD webcam that elevates your work environment with superior video and audio that outperforms standard laptop cameras. Achieve top-tier video collaboration at a cost-effective price point, ideal for widespread deployment across your organization.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,,,2025-05-29T11:15:36.910Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-side.png,,,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:36.910Z,400,,variant_01JWDW2DVDK920NRF5ZG2FR7B7,Webcam Black,WEBCAM-BLACK,,,,,false,false,,2025-05-29T11:15:36.941Z,,,,,,Color,Black,,,,59,,59,prod_01JWDW2DTH682DDEQAJJ3ZJ1EB,2025-05-29T11:15:36.941Z,0,,
prod_01JWDW2DTH682DDEQAJJ3ZJ1EB,1080p-hd-pro-webcam-superior-video-privacy-enabled,1080p HD Pro Webcam | Superior Video | Privacy enabled,published,"High-quality 1080p HD webcam that elevates your work environment with superior video and audio that outperforms standard laptop cameras. Achieve top-tier video collaboration at a cost-effective price point, ideal for widespread deployment across your organization.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,,,2025-05-29T11:15:36.910Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/camera-side.png,,,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:36.910Z,400,,variant_01JWDW2DVDA4ZFP6M5J7CNBSKS,Webcam White,WEBCAM-WHITE,,,,,false,false,,2025-05-29T11:15:36.941Z,,,,,,Color,White,,,,65,,65,prod_01JWDW2DTH682DDEQAJJ3ZJ1EB,2025-05-29T11:15:36.941Z,0,,
prod_01JWDW2DWK0FEVX87CMSRKHSPV,65-ultra-hd-smartphone-3x-impact-resistant-screen,"6.5"" Ultra HD Smartphone | 3x Impact-Resistant Screen",published,"This premium smartphone is crafted from durable and lightweight aerospace-grade aluminum, featuring an expansive 6.5"" Ultra-High Definition AMOLED display. It boasts exceptional durability with a cutting-edge nanocrystal glass front, offering three times the impact resistance of standard smartphone screens. The device combines sleek design with robust protection, setting a new standard for smartphone resilience and visual excellence. Copy",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,pcol_01JWDW2DQK78XM84BZR07ZT73J,,2025-05-29T11:15:36.977Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-bottom.png,,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:36.977Z,400,,variant_01JWDW2DXECA3DGT25MBG53GJ9,256 GB Purple,PHONE-256-PURPLE,,,,,false,false,,2025-05-29T11:15:37.006Z,,,,,,Memory,256 GB,Color,Purple,,999,,999,prod_01JWDW2DWK0FEVX87CMSRKHSPV,2025-05-29T11:15:37.006Z,0,,
prod_01JWDW2DWK0FEVX87CMSRKHSPV,65-ultra-hd-smartphone-3x-impact-resistant-screen,"6.5"" Ultra HD Smartphone | 3x Impact-Resistant Screen",published,"This premium smartphone is crafted from durable and lightweight aerospace-grade aluminum, featuring an expansive 6.5"" Ultra-High Definition AMOLED display. It boasts exceptional durability with a cutting-edge nanocrystal glass front, offering three times the impact resistance of standard smartphone screens. The device combines sleek design with robust protection, setting a new standard for smartphone resilience and visual excellence. Copy",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,pcol_01JWDW2DQK78XM84BZR07ZT73J,,2025-05-29T11:15:36.977Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/phone-bottom.png,,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:36.977Z,400,,variant_01JWDW2DXEYVQ2BRYFR5NYX6QC,256 GB Red,PHONE-256-RED,,,,,false,false,,2025-05-29T11:15:37.006Z,,,,,,Memory,256 GB,Color,Red,,959,,959,prod_01JWDW2DWK0FEVX87CMSRKHSPV,2025-05-29T11:15:37.006Z,0,,
prod_01JWDW2DYE04C56T01HQYR30XE,34-qd-oled-curved-gaming-monitor-ultra-wide-infinite-contrast-175hz,"34"" QD-OLED Curved Gaming Monitor | Ultra-Wide | Infinite Contrast | 175Hz",published,"Experience the pinnacle of display technology with this 34-inch curved monitor. By merging OLED panels and Quantum Dot technology, this QD-OLED screen delivers exceptional contrast, deep blacks, unlimited viewing angles, and vivid colors. The curved design provides an immersive experience, allowing you to enjoy the best of both worlds in one cutting-edge display. This innovative monitor represents the ultimate fusion of visual performance and immersive design.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,pcol_01JWDW2DQK78XM84BZR07ZT73J,,2025-05-29T11:15:37.035Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-top.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-back.png,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:37.035Z,400,,variant_01JWDW2DZ7SNCR99H5VJM3NMQN,ACME Monitor 4k White,ACME-MONITOR-WHITE,,,,,false,false,,2025-05-29T11:15:37.063Z,,,,,,Color,White,,,,599,,599,prod_01JWDW2DYE04C56T01HQYR30XE,2025-05-29T11:15:37.063Z,0,,
prod_01JWDW2DYE04C56T01HQYR30XE,34-qd-oled-curved-gaming-monitor-ultra-wide-infinite-contrast-175hz,"34"" QD-OLED Curved Gaming Monitor | Ultra-Wide | Infinite Contrast | 175Hz",published,"Experience the pinnacle of display technology with this 34-inch curved monitor. By merging OLED panels and Quantum Dot technology, this QD-OLED screen delivers exceptional contrast, deep blacks, unlimited viewing angles, and vivid colors. The curved design provides an immersive experience, allowing you to enjoy the best of both worlds in one cutting-edge display. This innovative monitor represents the ultimate fusion of visual performance and immersive design.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,pcol_01JWDW2DQK78XM84BZR07ZT73J,,2025-05-29T11:15:37.035Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-top.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/screen-back.png,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:37.035Z,400,,variant_01JWDW2DZ72J2Z3T0YMGS4Z0D5,ACME Monitor 4k White,ACME-MONITOR-BLACK,,,,,false,false,,2025-05-29T11:15:37.063Z,,,,,,Color,Black,,,,599,,599,prod_01JWDW2DYE04C56T01HQYR30XE,2025-05-29T11:15:37.063Z,0,,
prod_01JWDW2E022Q5MC26EWRGSTPT4,hi-fi-gaming-headset-pro-grade-dac-hi-res-certified,Hi-Fi Gaming Headset | Pro-Grade DAC | Hi-Res Certified,published,"Experience studio-quality audio with this advanced acoustic system, which pairs premium hardware with high-fidelity sound and innovative audio software for an immersive listening experience. The integrated digital-to-analog converter (DAC) enhances the audio setup with high-resolution certification and a built-in amplifier, delivering exceptional sound clarity and depth. This comprehensive audio solution brings professional-grade sound to your personal environment, whether for gaming, music production, or general entertainment.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,pcol_01JWDW2DQK78XM84BZR07ZT73J,,2025-05-29T11:15:37.087Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-top.png,,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:37.087Z,400,,variant_01JWDW2E0SAPY0N0P82VEV814K,Headphone Black,HEADPHONE-BLACK,,,,,false,false,,2025-05-29T11:15:37.113Z,,,,,,Color,Black,,,,149,,149,prod_01JWDW2E022Q5MC26EWRGSTPT4,2025-05-29T11:15:37.113Z,0,,
prod_01JWDW2E022Q5MC26EWRGSTPT4,hi-fi-gaming-headset-pro-grade-dac-hi-res-certified,Hi-Fi Gaming Headset | Pro-Grade DAC | Hi-Res Certified,published,"Experience studio-quality audio with this advanced acoustic system, which pairs premium hardware with high-fidelity sound and innovative audio software for an immersive listening experience. The integrated digital-to-analog converter (DAC) enhances the audio setup with high-resolution certification and a built-in amplifier, delivering exceptional sound clarity and depth. This comprehensive audio solution brings professional-grade sound to your personal environment, whether for gaming, music production, or general entertainment.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,pcol_01JWDW2DQK78XM84BZR07ZT73J,,2025-05-29T11:15:37.087Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-side.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/headphone-top.png,,false,,,,,sc_01JWDW2DGWG42RERR7F6P3HB6D,2025-05-29T11:15:37.087Z,400,,variant_01JWDW2E0SDVKSFMYVW1WBXJ2B,Headphone White,HEADPHONE-WHITE,,,,,false,false,,2025-05-29T11:15:37.113Z,,,,,,Color,White,,,,149,,149,prod_01JWDW2E022Q5MC26EWRGSTPT4,2025-05-29T11:15:37.113Z,0,,
